objID,ra,dec,z,lgm_tot_p50,sfr_tot_p50,oh_p50
1237665330927304821,188.357951711139,32.9749626744276,0.03053182,9.28528,-0.3838197,8.832173
1237665428633223242,211.721930558225,27.2234145497921,0.03504705,9.417295,-0.2889608,8.819617
1237667912745156705,196.21970341421,25.5594655920686,0.03530402,9.548795,-0.1977571,8.951676
1237658424092852318,164.869314201035,7.45013733611056,0.04924275,10.68845,0.08374613,9.043237
1237658492810035222,165.641521325551,9.48350010351327,0.03486765,9.154135,-0.04874972,8.592505
1237657776609034472,118.422634104284,29.0343175710281,0.0361063,9.845494,-0.1015713,8.943527
1237662533823234280,237.097201506184,9.10505787196463,0.04173599,9.911108,0.1445027,8.985293
1237661464914165820,239.268690769578,32.8132879657761,0.03097618,9.308352,-0.1763774,8.799279
1237662500552704089,257.897484457986,21.6989995275776,0.03231231,9.539783,-0.3099395,8.884756
1237661850401505362,203.381875262456,43.0231806632131,0.04197067,9.905116,-0.08821904,8.73135
1237651736851841178,228.36801334918,2.13382145464472,0.03864069,10.59286,0.4956087,9.267226
1237667782851035264,224.379226243313,17.8908969410198,0.04637985,9.616814,0.008293301,8.834499
1237661063879458986,149.76667102064,9.33463121653503,0.04944619,9.833941,0.155727,9.002509
1237667255610900688,145.171239431411,25.0856343340691,0.04346096,9.939978,-0.04146958,9.011947
1237664337171972174,156.847339169655,33.2096146525514,0.03744559,9.192002,-0.1618687,8.646853
1237662695960477925,231.127075886593,26.7215165180884,0.03224309,9.469643,-0.54603,8.810776
1237671764785627443,190.660886592706,-2.03983560354158,0.04776021,9.805085,-0.06979146,8.985044
1237667447265362037,181.476775340372,24.7765184182807,0.04187087,9.684413,-0.3137588,9.065364
1237664674327887987,199.501729897747,37.6464039137715,0.04985484,10.36652,0.1483185,9.040494
1237667322180272247,177.297346970323,26.498077748374,0.0447299,10.20571,0.2616394,8.868887
1237664820358283285,174.380866914485,38.1568457790979,0.03194594,9.342935,0.06751927,8.641767
1237654392181096672,127.559012973547,47.5816873133299,0.03952467,10.75331,0.7566708,9.153582
1237665098999398535,139.939546115076,27.0278648750448,0.04524251,9.622047,-0.1353495,8.844256
